HEAD_AREA,name
306.0,02020926317
449.0,02021027317
453.0,02021135323
363.0,01010518306
282.0,02020618313
414.0,02021136324
289.0,02010305305
412.0,01010619327
292.0,02010512333
281.0,01010517343
256.0,02021030322
328.0,01010621314
375.0,01010517329
312.0,01010619337
323.0,010106193130
405.0,01010518333
299.0,02021557331
387.0,02010408326
391.0,02021139308
270.0,01010207318
418.0,01010620367
432.0,02021032315
544.0,02021135364
350.0,02021557323
344.0,01010414319
440.0,02021139321
315.0,01010103301
359.0,02020618311
292.0,02021558305
301.0,01010621357
335.0,010103083100
298.0,02020923320
276.0,01010517333
398.0,02010306312
288.0,02010409314
286.0,02021555323
308.0,01010101327
280.0,01010414331
313.0,02021555318
264.0,01010311320
351.0,02021137324
318.0,02020616316
386.0,02021032316
236.0,02021560316
347.0,01010621307
443.0,02010510343
364.0,02021139318
278.0,01010102360
394.0,01010204303
343.0,02010510317
326.0,01010621382
380.0,02021033312
408.0,02020924309
369.0,01010206323
390.0,01010204339
395.0,01010414314
285.0,02020923305
250.0,010101023211
475.0,01010309383
240.0,02010305322
351.0,01010310369
385.0,02010408327
517.0,02021136318
435.0,02021029308
343.0,01010518324
413.0,02020615323
297.0,01010205324
302.0,01010204347
364.0,01010309322
421.0,02021558315
401.0,01010620378
272.0,02010306307
328.0,02010409339
314.0,02010513317
439.0,02021027315
379.0,01010207381
373.0,02021033305
374.0,01010206310
293.0,02021555309
285.0,010103083109
369.0,02021033301
254.0,02010203310
360.0,02020925308
335.0,02021034305
291.0,02021555317
362.0,01010204329
438.0,02021027333
182.0,02021034351
385.0,01010102338
315.0,01010204356
307.0,02021137330
439.0,02021248336
239.0,010101023167
341.0,02010510328
330.0,01010204353
443.0,01010620359
158.0,01010205354
376.0,01010518318
394.0,01010516304
349.0,010106213141
407.0,01010309324
454.0,02021139326
333.0,01010414320
372.0,02020822349
440.0,02021136305
265.0,01010310309
253.0,02020926302
464.0,01010102384
337.0,01010620376
463.0,02020615315
505.0,02010510312
463.0,02020822318
343.0,010101033121
381.0,01010414329
284.0,02021558302
334.0,01010207339
344.0,01010309382
348.0,02020617313
433.0,02021032335
340.0,02021135303
356.0,02021138321
358.0,01010620363
363.0,02020822319
350.0,01010620306
483.0,02020616302
337.0,01010412354
362.0,02020925301
294.0,02020614316
414.0,02021139325
356.0,01010413316
361.0,02021033324
437.0,02010409307
375.0,02021240318
358.0,01010207336
304.0,02021138326
254.0,02021242303
348.0,01010206315
199.0,02021556335
416.0,02010306309
411.0,02021138320
273.0,01010311324
318.0,02020924303
276.0,01010621364
311.0,01010205302
446.0,02021027307
270.0,01010413355
297.0,02021243304
326.0,01010620372
261.0,02020923313
365.0,02020822335
290.0,01010414321
304.0,01010308387
258.0,02010202327
254.0,02010510335
338.0,01010207316
457.0,01010102376
296.0,02010409309
272.0,010101013100
567.0,02021033319
307.0,01010621347
521.0,02020615321
326.0,02021560315
427.0,02020926312
287.0,02020617352
284.0,02021556350
436.0,02021135306
366.0,01010620340
379.0,010101013103
477.0,02021136315
340.0,01010517336
331.0,010101023147
263.0,02010512331
310.0,02021137306
342.0,01010204357
264.0,01010414356
273.0,01010414336
367.0,01010620368
268.0,01010619303
407.0,02021032314
287.0,02020617341
245.0,02010409302
334.0,02021240301
255.0,010101023162
479.0,02021136302
316.0,02020925307
326.0,02010306316
361.0,01010207333
299.0,02021138327
364.0,01010515310
296.0,01010619345
345.0,01010308328
333.0,02021138324
477.0,01010309313
384.0,02021242308
333.0,02010409333
377.0,02021137328
398.0,01010620364
400.0,02020615319
360.0,02021137307
415.0,02021557325
639.0,01010412375
413.0,02021135345
383.0,02021135332
375.0,01010515322
422.0,02010409313
388.0,01010207313
600.0,02021139345
355.0,01010619304
342.0,02021028303
306.0,01010205345
231.0,02020822320
327.0,01010308382
387.0,02021027331
353.0,01010619314
377.0,02010409330
395.0,01010518334
281.0,01010103321
328.0,010101013135
454.0,02021034321
306.0,02020822326
310.0,02010408323
219.0,01010621359
318.0,01010619354
344.0,02020615325
531.0,02021032328
369.0,02010513318
370.0,01010414325
483.0,02021136319
341.0,01010412335
343.0,02021139313
427.0,02021135319
216.0,02021242301
420.0,02020618336
210.0,01010411309
274.0,01010621309
324.0,02020925315
423.0,02021033304
420.0,01010206341
401.0,02020821314
343.0,01010308321
355.0,02020923312
304.0,02021556345
274.0,02010512319
461.0,02021027321
386.0,01010207366
515.0,02021135327
333.0,01010517339
554.0,02021139333
460.0,02021032301
418.0,02021027301
317.0,01010311319
286.0,01010205315
313.0,02021137325
384.0,02021136333
400.0,02020822327
319.0,01010413320
373.0,01010620307
301.0,02021557311
274.0,010101023175
465.0,02021027332
368.0,01010518315
342.0,02010101313
296.0,01010103305
263.0,02021243311
266.0,02020614313
370.0,02021033336
300.0,010101033146
352.0,01010517308
241.0,02010203301
276.0,02021028322
340.0,01010101333
399.0,02020720305
295.0,02010306317
362.0,02021139319
341.0,02020618308
248.0,02010408307
271.0,02021242304
281.0,02010101306
359.0,02020821328
308.0,01010204316
357.0,02010304312
452.0,02020615317
464.0,02021241318
441.0,01010620325
389.0,02021027336
331.0,01010412356
317.0,01010619346
334.0,01010103359
288.0,02021241316
344.0,01010413306
477.0,01010206338
423.0,02021027328
366.0,02021135336
296.0,02021030310
382.0,02020923306
351.0,01010207315
274.0,01010311334
453.0,02010202331
256.0,01010103328
411.0,02021027313
378.0,02021241303
452.0,02010306321
345.0,02020821323
373.0,02021028302
365.0,02021027303
295.0,01010517344
356.0,02021030305
