LOWER_ARM_L,LOWER_ARM_R,LOWER_LEG_L,LOWER_LEG_R,UPPER_ARM_L,UPPER_ARM_R,UPPER_LEG_L,UPPER_LEG_R,name
50.0,56.0,93.0,112.0,52.0,52.0,115.0,132.0,02020926317
91.0,109.0,141.0,107.0,79.0,81.0,191.0,210.0,02021027317
61.0,60.0,112.0,103.0,46.0,63.0,159.0,214.0,02021135323
86.0,110.0,162.0,145.0,72.0,92.0,184.0,191.0,01010518306
61.0,77.0,143.0,110.0,82.0,78.0,139.0,149.0,02020618313
83.0,96.0,150.0,145.0,61.0,93.0,193.0,233.0,02021136324
44.0,49.0,85.0,85.0,51.0,49.0,118.0,128.0,02010305305
88.0,49.0,98.0,94.0,73.0,61.0,265.0,165.0,01010619327
43.0,55.0,69.0,68.0,53.0,57.0,135.0,114.0,02010512333
51.0,62.0,83.0,81.0,66.0,60.0,88.0,110.0,01010517343
39.0,45.0,60.0,64.0,41.0,45.0,131.0,142.0,02021030322
74.0,63.0,104.0,86.0,73.0,72.0,177.0,180.0,01010621314
57.0,63.0,78.0,104.0,62.0,45.0,260.0,245.0,01010517329
49.0,55.0,85.0,83.0,58.0,60.0,114.0,130.0,01010619337
55.0,50.0,62.0,76.0,51.0,56.0,109.0,118.0,010106193130
62.0,90.0,147.0,86.0,60.0,81.0,179.0,186.0,01010518333
59.0,48.0,136.0,126.0,57.0,38.0,166.0,182.0,02021557331
66.0,78.0,95.0,105.0,75.0,86.0,131.0,182.0,02010408326
91.0,74.0,125.0,125.0,87.0,86.0,190.0,224.0,02021139308
52.0,73.0,121.0,120.0,57.0,68.0,123.0,157.0,01010207318
52.0,67.0,108.0,102.0,58.0,79.0,148.0,175.0,01010620367
65.0,98.0,117.0,96.0,65.0,90.0,154.0,231.0,02021032315
104.0,96.0,190.0,30.0,86.0,194.0,259.0,275.0,02021135364
64.0,66.0,92.0,118.0,65.0,74.0,127.0,142.0,02021557323
65.0,83.0,80.0,82.0,56.0,62.0,133.0,157.0,01010414319
92.0,56.0,109.0,118.0,93.0,85.0,210.0,195.0,02021139321
62.0,63.0,77.0,85.0,62.0,63.0,163.0,145.0,01010103301
70.0,127.0,250.0,185.0,106.0,105.0,221.0,251.0,02020618311
64.0,62.0,95.0,101.0,64.0,64.0,176.0,170.0,02021558305
39.0,53.0,73.0,65.0,38.0,72.0,118.0,130.0,01010621357
65.0,64.0,90.0,91.0,63.0,69.0,173.0,194.0,010103083100
44.0,59.0,122.0,84.0,34.0,63.0,136.0,145.0,02020923320
91.0,84.0,135.0,121.0,68.0,77.0,158.0,187.0,01010517333
78.0,50.0,108.0,121.0,66.0,68.0,187.0,183.0,02010306312
58.0,50.0,85.0,87.0,44.0,56.0,127.0,133.0,02010409314
61.0,43.0,98.0,89.0,11.0,51.0,172.0,207.0,02021555323
47.0,54.0,96.0,103.0,54.0,59.0,167.0,181.0,01010101327
51.0,61.0,111.0,78.0,59.0,56.0,129.0,118.0,01010414331
59.0,59.0,100.0,85.0,57.0,72.0,140.0,179.0,02021555318
46.0,42.0,83.0,92.0,40.0,60.0,146.0,150.0,01010311320
43.0,49.0,78.0,83.0,40.0,58.0,144.0,153.0,02021137324
67.0,71.0,199.0,177.0,90.0,80.0,192.0,185.0,02020616316
77.0,78.0,108.0,82.0,54.0,68.0,147.0,181.0,02021032316
69.0,32.0,66.0,56.0,53.0,34.0,89.0,98.0,02021560316
61.0,89.0,127.0,158.0,66.0,78.0,333.0,420.0,01010621307
90.0,231.0,115.0,62.0,62.0,104.0,186.0,306.0,02010510343
67.0,57.0,103.0,113.0,70.0,68.0,193.0,205.0,02021139318
46.0,45.0,59.0,67.0,47.0,53.0,124.0,132.0,01010102360
80.0,65.0,116.0,106.0,81.0,72.0,198.0,172.0,01010204303
54.0,66.0,102.0,86.0,55.0,61.0,166.0,177.0,02010510317
37.0,40.0,74.0,82.0,47.0,47.0,122.0,150.0,01010621382
90.0,97.0,129.0,97.0,65.0,101.0,146.0,161.0,02021033312
56.0,62.0,67.0,77.0,63.0,69.0,117.0,183.0,02020924309
42.0,96.0,107.0,95.0,50.0,74.0,162.0,181.0,01010206323
68.0,66.0,123.0,120.0,64.0,74.0,148.0,156.0,01010204339
92.0,69.0,94.0,111.0,91.0,84.0,176.0,166.0,01010414314
46.0,45.0,104.0,88.0,43.0,57.0,132.0,188.0,02020923305
43.0,56.0,78.0,89.0,47.0,54.0,150.0,153.0,010101023211
82.0,76.0,132.0,143.0,74.0,78.0,201.0,189.0,01010309383
49.0,44.0,83.0,87.0,49.0,51.0,109.0,135.0,02010305322
40.0,49.0,103.0,94.0,48.0,65.0,116.0,123.0,01010310369
223.0,113.0,55.0,92.0,84.0,36.0,11.0,162.0,02010408327
95.0,84.0,151.0,150.0,86.0,99.0,202.0,185.0,02021136318
92.0,110.0,153.0,126.0,85.0,99.0,194.0,253.0,02021029308
48.0,56.0,121.0,157.0,78.0,62.0,133.0,168.0,01010518324
107.0,134.0,183.0,152.0,71.0,157.0,229.0,320.0,02020615323
71.0,44.0,144.0,153.0,62.0,91.0,155.0,170.0,01010205324
64.0,71.0,140.0,99.0,78.0,79.0,164.0,138.0,01010204347
39.0,62.0,87.0,80.0,48.0,76.0,118.0,128.0,01010309322
55.0,66.0,99.0,109.0,58.0,64.0,154.0,199.0,02021558315
